Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4
A1,C1,C,1,1,10,3,25,10,95,,
A1,C1,C,2,0,5,5,20,10,50,,100
A1,C1,C,3,1,15,7,30,20,85,,100
A1,C1,C,4,0,30,0,40,15,100,,100
A1,C1,C,5,0,10,3,10,15,60,5,60
A1,C1,C,6,0,7,5,7,4,20,15,100
A1,C1,C,7,0,7,1,12,15,50,10,98
A1,C1,C,8,1,5,1,15,7,40,,
A1,C1,C,9,1,25,1,10,3,60,,
A1,C1,C,10,0,7,1,5,10,30,15,100
A1,C1,C,11,0,5,2,7,40,100,,
A1,C1,C,12,1,30,3,10,15,40,5,100
A1,C1,C,13,1,15,5,15,15,60,,100
A1,C1,C,14,0,3,1,20,40,60,,90
A1,C1,C,15,1,5,5,30,10,70,,100
A2,A3C1,A,1,4,40,7,50,70,98,,100
A2,A3C1,C,2,2,7,4,40,30,98,,100
A2,A3C1,A,3,1,5,15,30,10,85,50,100
A2,A3C1,C,4,0,10,1,90,10,100,,
A2,A3C1,A,5,2,15,7,75,7,95,,
A2,A3C1,C,6,0,3,1,15,2,80,,100
A2,A3C1,A,7,3,15,7,20,20,98,,100
A2,A3C1,C,8,0,12,2,20,,98,,100
A2,A3C1,A,9,4,60,25,90,20,100,,
A2,A3C1,C,10,1,7,1,50,3,75,,
A2,A3C1,A,11,4,12,10,75,15,85,5,98
A2,A3C1,C,12,2,5,4,20,3,60,,100
A2,A3C1,A,13,0,50,7,95,10,98,,
A2,A3C1,C,14,1,7,0,10,0,40,,
A2,A3C1,A,15,2,30,7,98,,100,,
A2,A3C1,C,16,0,10,3,30,10,90,,100
A2,A3C1,A,17,1,7,15,70,15,95,,
A2,A3C1,C,18,0,3,0,15,5,60,15,100
A2,A3C1,A,19,0,40,12,95,30,100,,100
A2,A3C1,C,20,0,20,2,80,7,95,,100
A2,A3C1,A,21,1,7,15,30,10,80,40,100
A2,A3C1,C,22,0,20,2,70,12,60,,100
A2,A3C1,A,23,1,5,10,30,15,95,20,100
A2,A3C1,C,24,0,50,4,25,15,40,5,90
A2,A3C1,A,25,5,70,7,95,50,100,,
A2,A3C1,C,26,0,15,0,30,10,80,,100
A2,A3C1,A,27,4,18,12,80,20,100,,
A2,A3C1,C,28,0,3,1,5,10,30,10,20
A2,A3C1,A,29,3,10,12,60,,100,,
A2,A3C1,C,30,1,3,0,5,2,60,5,100
A3,A1,A,1,3,12,25,30,20,60,7,100
A3,A1,A,2,3,7,7,10,15,30,15,100
A3,A1,A,3,1,5,25,40,60,93,5,100
A3,A1,A,4,4,15,12,20,20,65,,
A3,A1,A,5,0,7,7,12,5,50,,
A3,A1,A,6,1,5,2,7,15,25,,100
A3,A1,A,7,0,7,12,20,10,30,,100
A3,A1,A,8,3,12,7,25,,100,,
A3,A1,A,9,1,7,7,12,50,65,10,97
A3,A1,A,10,2,15,15,20,30,50,20,100
A3,A1,A,11,4,10,15,20,50,70,15,100
A3,A1,A,12,1,5,5,15,12,30,5,100
A3,A1,A,13,1,7,7,15,20,75,,
A3,A1,A,14,3,12,7,25,20,60,15,100
A3,A1,A,15,0,80,5,90,15,100,,100
B1,A1C1,A,1,3,25,7,60,25,100,,
B1,A1C1,C,2,0,12,5,25,10,50,30,75
B1,A1C1,A,3,1,60,2,95,10,90,,100
B1,A1C1,C,4,2,7,2,25,15,90,,100
B1,A1C1,A,5,1,25,12,30,7,50,,100
B1,A1C1,C,6,2,12,3,25,10,60,30,95
B1,A1C1,A,7,1,25,7,20,12,40,10,100
B1,A1C1,C,8,1,20,3,17,15,50,30,100
B1,A1C1,A,9,1,15,10,25,15,70,,100
B1,A1C1,C,10,0,50,1,10,3,15,50,80
B1,A1C1,A,11,3,10,7,60,15,95,15,100
B1,A1C1,C,12,0,25,1,20,7,60,,100
B1,A1C1,A,13,1,10,12,80,40,100,,
B1,A1C1,C,14,0,30,2,20,12,60,,100
B1,A1C1,A,15,2,15,5,80,40,100,,
B1,A1C1,C,16,1,30,2,15,15,95,,100
B1,A1C1,A,17,1,30,5,85,30,100,,
B1,A1C1,C,18,0,5,0,5,7,60,30,95
B1,A1C1,A,19,4,30,5,90,20,100,,
B1,A1C1,C,20,1,5,4,30,30,80,25,100
B1,A1C1,A,21,2,30,5,98,40,100,,
B1,A1C1,C,22,1,7,2,30,4,100,,100
B1,A1C1,A,23,2,7,12,90,,100,,
B1,A1C1,C,24,0,5,2,35,10,95,,100
B1,A1C1,A,25,2,10,10,40,15,95,,100
B1,A1C1,C,26,2,15,5,30,10,85,,100
B1,A1C1,A,27,2,15,7,50,15,85,,100
B1,A1C1,C,28,1,5,4,25,20,98,,
B1,A1C1,A,29,3,10,10,50,20,80,,100
B1,A1C1,C,30,1,12,2,30,7,85,,100
B2,A1C3,A,1,7,20,15,50,,100,,
B2,A1C3,C,2,1,10,4,15,20,60,,100
B2,A1C3,A,3,3,17,4,20,,100,,
B2,A1C3,C,4,0,10,4,12,,95,,
B2,A1C3,A,5,4,15,5,20,15,95,,100
B2,A1C3,C,6,0,5,0,40,2,20,,100
B2,A1C3,A,7,4,25,10,40,30,100,,100
B2,A1C3,C,8,0,5,3,15,,100,,
B2,A1C3,A,9,5,12,12,30,,100,,
B2,A1C3,C,10,1,15,1,7,4,20,,
B2,A1C3,A,11,3,20,,,20,50,,100
B2,A1C3,C,12,1,3,1,5,4,20,15,40
B2,A1C3,A,13,1,30,7,75,20,100,,100
B2,A1C3,C,14,1,10,2,10,7,40,,100
B2,A1C3,A,15,1,5,7,50,,100,,
B2,A1C3,C,16,0,5,3,15,7,70,,
B2,A1C3,A,17,2,15,4,40,7,75,,
B2,A1C3,C,18,0,30,2,5,7,30,5,80
B2,A1C3,A,19,5,15,15,50,20,100,,
B2,A1C3,C,20,1,15,8,15,25,75,5,100
B2,A1C3,A,21,3,15,5,15,10,50,,100
B2,A1C3,C,22,1,15,10,20,30,70,,100
B2,A1C3,A,23,3,17,3,40,60,100,,
B2,A1C3,C,24,1,60,3,10,15,20,,80
B2,A1C3,A,25,3,20,15,30,30,70,,
B2,A1C3,C,26,1,3,15,30,,25,,100
B2,A1C3,A,27,2,5,15,60,,100,,
B2,A1C3,C,28,1,10,4,7,12,75,20,100
B2,A1C3,A,29,0,10,7,12,15,40,20,70
B2,A1C3,C,30,0,12,2,18,2,30,,100
B3,C1,C,1,2,4,10,40,30,60,,
B3,C1,C,2,0,10,4,30,15,60,,100
B3,C1,C,3,1,10,10,40,,100,,
B3,C1,C,4,0,3,1,25,12,50,,
B3,C1,C,5,0,30,3,15,15,50,,
B3,C1,C,6,0,7,4,20,3,30,,
B3,C1,C,7,1,15,7,20,15,45,,100
B3,C1,C,8,1,3,3,10,12,40,,
B3,C1,C,9,1,7,2,5,10,70,,100
B3,C1,C,10,0,10,4,15,30,50,3,95
B3,C1,C,11,0,7,3,20,7,50,7,95
B3,C1,C,12,2,10,15,70,50,90,,
B3,C1,C,13,1,5,1,15,3,60,,
B3,C1,C,14,0,2,2,10,30,60,5,40
B3,C1,C,15,1,15,4,15,20,40,,100
C1,A3C1,A,1,2,12,15,30,,100,,
C1,A3C1,C,2,0,5,3,15,12,40,,100
C1,A3C1,A,3,2,4,10,18,18,60,,100
C1,A3C1,C,4,0,3,2,20,10,15,15,40
C1,A3C1,A,5,4,10,7,25,10,90,,
C1,A3C1,C,6,0,7,2,5,15,60,,100
C1,A3C1,A,7,1,10,12,20,3,90,,
C1,A3C1,C,8,1,2,1,2,1,7,15,35
C1,A3C1,A,9,2,12,10,15,30,80,,100
C1,A3C1,C,10,0,3,3,7,,70,,
C1,A3C1,A,11,1,15,15,20,20,40,,100
C1,A3C1,C,12,0,1,1,3,3,7,20,80
C1,A3C1,A,13,5,12,7,4,15,50,,100
C1,A3C1,C,14,0,1,2,5,7,40,,100
C1,A3C1,A,15,1,12,20,25,25,40,,100
C1,A3C1,C,16,0,15,1,5,4,10,3,80
C1,A3C1,A,17,2,7,7,20,12,60,,100
C1,A3C1,C,18,0,5,1,5,1,15,,90
C1,A3C1,A,19,3,7,10,30,10,80,,
C1,A3C1,C,20,0,3,0,10,0,50,,100
C1,A3C1,A,21,3,7,12,20,12,50,,100
C1,A3C1,C,22,0,5,2,7,12,60,,100
C1,A3C1,A,23,2,1,7,40,,100,,
C1,A3C1,C,24,0,1,2,5,3,80,,
C1,A3C1,A,25,0,5,7,20,7,50,,100
C1,A3C1,C,26,1,5,2,5,2,7,0,25
C1,A3C1,A,27,2,5,12,15,15,25,10,85
C1,A3C1,C,28,1,5,4,5,20,40,,
C1,A3C1,A,29,2,7,10,18,15,30,,100
C1,A3C1,C,30,0,5,1,7,4,10,10,30
C2,A1,A,1,3,5,7,20,15,30,5,90
C2,A1,A,2,3,15,5,18,,80,,100
C2,A1,A,3,3,15,20,40,20,80,50,100
C2,A1,A,4,1,3,12,20,5,30,20,80
C2,A1,A,5,2,17,7,20,10,50,40,100
C2,A1,A,6,2,15,10,20,50,90,,100
C2,A1,A,7,3,15,10,30,10,80,,100
C2,A1,A,8,2,30,10,20,15,40,15,95
C2,A1,A,9,10,10,7,15,20,50,30,98
C2,A1,A,10,3,12,12,30,30,95,,
C2,A1,A,11,2,5,15,20,20,50,70,80
C2,A1,A,12,1,7,7,20,18,80,,100
C2,A1,A,13,0,40,8,15,20,50,,100
C2,A1,A,14,4,10,5,18,12,30,7,90
C2,A1,A,15,1,7,4,7,7,25,7,70
C3,A1C3,A,1,3,20,10,30,17,85,,100
C3,A1C3,C,2,1,15,4,20,20,80,10,100
C3,A1C3,A,3,8,30,18,40,7,70,4,100
C3,A1C3,C,4,3,30,4,15,3,40,,97
C3,A1C3,A,5,7,20,3,20,15,60,,100
C3,A1C3,C,6,0,3,1,5,10,20,,25
C3,A1C3,A,7,3,15,12,30,7,60,,
C3,A1C3,C,8,0,7,4,15,10,30,10,100
C3,A1C3,A,9,7,30,18,40,70,100,,100
C3,A1C3,C,10,1,7,3,15,10,70,,
C3,A1C3,A,11,3,15,15,40,50,90,,100
C3,A1C3,C,12,1,15,12,50,20,70,,100
C3,A1C3,A,13,3,20,40,60,40,80,,100
C3,A1C3,C,14,0,2,3,10,20,40,,
C3,A1C3,A,15,7,15,18,25,60,80,,100
C3,A1C3,C,16,0,10,0,15,30,95,80,100
C3,A1C3,A,17,4,18,15,35,12,50,30,90
C3,A1C3,C,18,1,3,3,10,7,20,50,80
C3,A1C3,A,19,3,20,7,20,15,90,,
C3,A1C3,C,20,1,5,20,40,35,80,70,100
C3,A1C3,A,21,4,15,7,20,15,50,30,100
C3,A1C3,C,22,2,4,5,40,30,60,15,70
C3,A1C3,A,23,2,15,20,90,20,100,,
C3,A1C3,C,24,0,10,5,25,7,60,,100
C3,A1C3,A,25,4,25,5,40,30,95,,100
C3,A1C3,C,26,1,3,5,15,20,30,,
C3,A1C3,A,27,3,15,10,80,40,90,,
C3,A1C3,C,28,0,7,5,15,4,40,10,70
C3,A1C3,A,29,2,15,7,85,18,100,,100
C3,A1C3,C,30,1,20,10,30,10,50,25,75
D1,A1,A,1,1,7,7,20,17,70,,100
D1,A1,A,2,2,7,12,20,15,50,,98
D1,A1,A,3,1,10,12,20,7,50,,
D1,A1,A,4,1,15,3,10,7,20,5,90
D1,A1,A,5,0,15,4,18,10,70,,
D1,A1,A,6,1,7,3,20,,100,,
