Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4,Z5,S5
A7,C1,C ,1,4,10,0,12,20,80,,100,,
A7,C1,C ,2,0,5,0,7,12,95,,,,
A7,C1,C ,3,0,5,2,15,0,10,,100,,
A7,C1,C ,4,0,7,3,15,,100,,,,
A7,C1,C ,5,0,4,2,10,,100,,,,
A7,C1,C ,6,0,7,0,10,12,70,,100,,
A7,C1,C ,7,10,15,0,15,,100,,,,
A7,C1,C ,8,2,5,4,12,4,15,30,90,,100
A7,C1,C ,9,7,12,7,40,,100,,,,
A7,C1,C ,10,1,5,4,10,12,40,,100,,
A7,C1,C ,11,2,15,5,7,,100,,,,
A7,C1,C ,12,3,5,1,15,5,80,,100,,
A7,C1,C ,13,5,10,3,25,25,40,,100,,
A7,C1,C ,14,7,10,5,20,,100,,,,
A7,C1,C ,15,4,10,12,30,,100,,,,
A8,A3C1,C,1,2,4,0,5,7,50,,100,,
A8,A3C1,C,2,1,7,2,5,,100,,,,
A8,A3C1,C,3,1,25,3,40,0,15,20,85,,100
A8,A3C1,C,4,2,5,0,5,2,7,,100,,
A8,A3C1,C,5,2,40,0,40,,100,,,,
A8,A3C1,C,6,0,15,0,35,2,30,,100,,
A8,A3C1,C,7,0,4,0,5,3,4,15,70,,100
A8,A3C1,C,8,1,5,0,7,2,7,,100,,
A8,A3C1,C,9,2,3,2,15,25,30,,100,,
A8,A3C1,C,10,1,3,5,20,20,50,,100,,
A8,A3C1,C,11,3,5,2,15,25,80,,,,
A8,A3C1,C,12,0,5,0,5,15,30,,100,,
A8,A3C1,C,13,0,5,0,7,0,7,,100,,
A8,A3C1,C,14,0,5,3,7,0,5,,100,,
A8,A3C1,C,15,2,7,0,5,,100,,,,
A8,A3C1,A,1,4,5,20,25,4,20,,100,,
A8,A3C1,A,2,2,3,4,10,5,40,,100,,
A8,A3C1,A,3,4,5,5,15,15,80,,,,
A8,A3C1,A,4,3,5,5,7,,100,,,,
A8,A3C1,A,5,4,5,5,10,2,10,,100,,
A8,A3C1,A,6,1,3,3,5,10,25,,100,,
A8,A3C1,A,7,3,5,10,15,7,40,,100,,
A8,A3C1,A,8,5,7,10,20,15,80,,100,,
A8,A3C1,A,9,5,5,7,10,5,10,,100,,
A8,A3C1,A,10,2,5,5,10,,100,,,,
A8,A3C1,A,11,2,5,7,15,20,50,,100,,
A8,A3C1,A,12,3,5,10,20,20,30,,100,,
A8,A3C1,A,13,1,5,2,5,10,85,,100,,
A8,A3C1,A,14,4,5,10,20,,100,,,,
A8,A3C1,A,15,4,5,10,30,,100,,,,
A9,A1,A,1,4,7,7,15,,100,,,,
A9,A1,A,2,3,7,4,10,5,10,30,90,,
A9,A1,A,3,2,3,7,10,30,95,,100,,
A9,A1,A,4,4,5,5,10,7,25,,,,
A9,A1,A,5,3,5,4,7,7,15,,100,,
A9,A1,A,6,4,7,15,25,,100,,,,
A9,A1,A,7,3,4,10,12,20,80,,100,,
A9,A1,A,8,2,4,5,7,4,15,25,85,,100
A9,A1,A,9,4,7,10,45,,100,,,,
A9,A1,A,10,3,5,4,6,6,20,,100,,
A9,A1,A,11,7,15,5,15,10,20,,100,,
A9,A1,A,12,5,7,10,20,25,60,,100,,
A9,A1,A,13,2,5,5,10,20,90,,100,,
A9,A1,A,14,2,7,3,10,10,40,,100,,
A9,A1,A,15,4,7,7,20,5,25,,100,,
B7,A1C1,A,30,3,5,3,5,7,60,,100,,
B7,A1C1,C,1,0,5,0,15,1,35,,100,,
B7,A1C1,C,2,0,5,5,20,22,40,,100,,
B7,A1C1,C,3,1,3,4,15,,100,,,,
B7,A1C1,C,4,0,7,2,7,20,90,,100,,
B7,A1C1,C,5,0,15,3,15,,100,,,,
B7,A1C1,C,6,0,5,2,10,5,70,,100,,
B7,A1C1,C,7,5,7,1,7,5,95,,100,,
B7,A1C1,C,8,0,3,4,5,7,85,,100,,
B7,A1C1,C,9,0,3,15,30,5,10,,100,,
B7,A1C1,C,10,0,4,0,10,2,7,,100,,
B7,A1C1,C,11,0,5,2,10,0,10,,100,,
B7,A1C1,C,12,2,15,4,15,,100,,,,
B7,A1C1,C,13,2,5,0,10,15,20,,100,,
B7,A1C1,C,14,0,10,3,15,,100,,,,
B7,A1C1,C,15,0,10,3,15,3,30,,100,,
B7,A1C1,A,16,2,3,2,7,10,40,,100,,
B7,A1C1,A,17,4,7,15,20,,100,,,,
B7,A1C1,A,18,3,5,4,7,2,20,20,95,,
B7,A1C1,A,19,3,5,4,12,,100,,,,
B7,A1C1,A,20,4,5,7,40,,100,,,,
B7,A1C1,A,21,3,5,5,7,20,70,,100,,
B7,A1C1,A,22,3,7,4,7,15,40,30,95,,100
B7,A1C1,A,23,5,7,15,30,15,95,,,,
B7,A1C1,A,24,5,10,5,20,,100,,,,
B7,A1C1,A,25,3,10,2,7,,100,,,,
B7,A1C1,A,26,2,5,4,7,,100,,,,
B7,A1C1,A,27,5,10,10,15,,100,,,,
B7,A1C1,A,28,4,7,0,10,,100,,,,
B7,A1C1,A,29,4,5,5,10,12,30,,100,,
B7,A1C1,A,30,2,5,3,10,10,90,,,,
B8,A1C3,C,1,0,10,1,10,20,60,,100,,
B8,A1C3,C,2,0,3,3,12,3,15,,100,,
B8,A1C3,C,3,1,3,0,20,0,3,,100,,
B8,A1C3,C,4,0,3,2,5,5,25,,100,,
B8,A1C3,C,5,2,10,0,25,2,15,,100,,
B8,A1C3,C,6,0,3,1,10,0,5,,,,
B8,A1C3,C,7,0,3,0,5,0,5,15,40,,100
B8,A1C3,C,8,1,5,0,3,0,5,,100,,
